medicine_name,indication,contraindications,pregnancy_category,source,pregnancy_risk
acetaminophen and oxycodone,pain,"hepatic impairment, severe renal impairment, respiratory depression, severe hypotension, hypersensitivity to acetaminophen or oxycodone, concurrent MAOIs, concurrent CYP3A4 inhibitors, pregnancy, concurrent benzodiazepines, concurrent other opioids, concurrent sedatives.",C,drugsdotcom,MEDIUM
acetaminophen and tramadol,pain,"hepatic impairment, renal failure, hypersensitivity to tramadol or acetaminophen, concurrent MAOIs, concurrent SSRIs, concurrent warfarin, pregnancy, severe kidney disease, severe liver disease, severe respiratory depression, concurrent opioids, concurrent sedatives, concurrent alcohol use.",C,drugsdotcom,MEDIUM
acetaminophen capsules and tablets,pain,"hepatic impairment, severe renal failure, hypersensitivity to acetaminophen, concurrent warfarin, concurrent isoniazid, concurrent zidovudine, concurrent phenobarbital, concurrent phenytoin, concurrent carbamazepine, concurrent rifampin, concurrent rifabutin, concurrent St. John's Wort, severe alcoholism, pregnancy with severe liver disease,",C,drugsdotcom,MEDIUM
acetaminophen controlled-release tablets,pain,"hepatic impairment, severe renal failure, hypersensitivity to acetaminophen, concurrent warfarin, concurrent isoniazid, concurrent zidovudine, concurrent phenobarbital, concurrent phenytoin, concurrent carbamazepine, concurrent rifampicin, concurrent rifabutin, concurrent St. John's Wort, concurrent estrogen-containing oral contraceptives, severe",C,drugsdotcom,MEDIUM
acetaminophen dispersible tablets,pain,"hepatic impairment, severe renal failure, hypersensitivity to acetaminophen, concurrent warfarin, concurrent isoniazid, concurrent zidovudine, concurrent phenobarbital, concurrent phenytoin, concurrent carbamazepine, concurrent rifampicin, concurrent rifabutin, concurrent St. John's Wort, severe pregnancy-induced hypertension, severe preecl",C,drugsdotcom,MEDIUM
acetaminophen liquid,pain,"hepatic impairment, severe renal failure, hypersensitivity to acetaminophen, concurrent warfarin, concurrent isoniazid, concurrent zidovudine, concurrent phenobarbital, concurrent phenytoin, concurrent carbamazepine, concurrent rifampin, concurrent rifabutin, concurrent St. John's Wort, severe dehydration, severe malnutrition, pregnancy with severe",C,drugsdotcom,MEDIUM
acetaminophen suspension drops,pain,"hepatic impairment, severe renal failure, hypersensitivity to acetaminophen, concurrent warfarin, concurrent isoniazid, concurrent zidovudine, concurrent phenobarbital, concurrent phenytoin, concurrent carbamazepine, concurrent rifampin, concurrent rifabutin, concurrent St. John's Wort, severe dehydration, severe malnutrition, pregnancy with severe",C,drugsdotcom,MEDIUM
"acetaminophen, caffeine, and dihydrocodeine",pain,"hepatic impairment, renal failure, hypersensitivity, concurrent MAOIs, concurrent SSRIs, concurrent warfarin, pregnancy, concurrent carbamazepine, concurrent phenobarbital, concurrent rifampicin, concurrent erythromycin, concurrent cimetidine, concurrent protease inhibitors, concurrent atazanavir, concurrent clarithromycin, concurrent grapefruit juice.",C,drugsdotcom,MEDIUM
"acetaminophen, salicylamide, and phenyltoloxamine",pain,"hepatic impairment, severe renal failure, hypersensitivity to NSAIDs or salicylates, concurrent warfarin, pregnancy in third trimester, severe asthma.",C,drugsdotcom,MEDIUM
acrivastine / pseudoephedrine,hayfever,"hepatic impairment, renal failure, severe hypertension, coronary artery disease, concurrent MAOIs, concurrent SSRIs, concurrent TCAs, concurrent beta blockers, pregnancy, breastfeeding, hypersensitivity to pseudoephedrine or acrivastine.",B,drugsdotcom,LOW
acrivastine and pseudoephedrine (oral route),hayfever,"hepatic impairment, renal failure, hypersensitivity to acrivastine or pseudoephedrine, concurrent MAOIs, pregnancy, severe hypertension, coronary artery disease, cardiac arrhythmias, thyroid disease, severe kidney disease, severe liver disease, severe heart disease, severe high blood pressure.",B,drugsdotcom,LOW
albiglutide,diabetes (type 2),pancreatitis,C,drugsdotcom,MEDIUM
albuterol,asthma,"renal impairment, hypersensitivity to albuterol or other beta-agonists, concurrent MAOIs, concurrent non-potassium-sparing diuretics, severe heart failure, pregnancy (use only if benefits outweigh risks).",C,drugdata,MEDIUM
alfentanil,pain,"renal failure, respiratory depression, biliary obstruction, hypersensitivity, concurrent MAOIs, pregnancy, severe respiratory disease, head injury, intracranial hypertension, concurrent CNS depressants",C,drugsdotcom,MEDIUM
aliskiren,hypertension,hyperkalemia,D,drugsdotcom,HIGH
alogliptin,diabetes (type 2),"autoimmune disease, pancreatitis",B,drugsdotcom,LOW
alogliptin and metformin,diabetes (type 2),heart failure,B,drugsdotcom,LOW
alogliptin and pioglitazone,diabetes (type 2),"heart failure, autoimmune disease",C,drugsdotcom,MEDIUM
aluminum hydroxide,gerd (heartburn),"renal failure, severe hepatic impairment, hypersensitivity to aluminum salts, concurrent phosphate binders, concurrent antacids containing magnesium.",N,drugsdotcom,UNKNOWN
aluminum hydroxide and magnesium carbonate,gerd (heartburn),"renal failure, severe kidney disease, severe liver disease, hypersensitivity to aluminum or magnesium, concurrent antacids containing calcium, concurrent medications that may affect magnesium levels (e.g. loop diuretics), pregnancy (use in pregnancy only if benefits outweigh risks)",N,drugsdotcom,UNKNOWN
aluminum hydroxide and magnesium hydroxide chewable tablets,gerd (heartburn),"renal failure, severe kidney disease, severe liver disease, hypersensitivity to aluminum or magnesium, concurrent antacids or acid-reducing medications, concurrent medications that may interact with aluminum or magnesium (e.g. tetracyclines, quinolones), pregnancy (use with caution and under medical supervision)",N,drugsdotcom,UNKNOWN
"aluminum hydroxide, magnesium hydroxide, and simethicone",gerd (heartburn),"renal failure, severe kidney disease, severe liver disease, hypersensitivity to aluminum or magnesium, concurrent antacids containing calcium, concurrent medications that may affect magnesium levels (e.g. digoxin, certain antibiotics), pregnancy risks if severe (aluminum toxicity risk).",N,drugsdotcom,UNKNOWN
"aluminum hydroxide, magnesium hydroxide, and simethicone chewable tablets",gerd (heartburn),"renal failure, severe kidney disease, severe liver disease, hypersensitivity to aluminum or magnesium, concurrent antacids or aluminum-containing medications, concurrent medications that may interact with magnesium (e.g. certain antibiotics, blood thinners), pregnancy risks if severe (aluminum toxicity risk).",N,drugsdotcom,UNKNOWN
"aluminum hydroxide, magnesium hydroxide, and simethicone suspension",gerd (heartburn),"renal failure, severe hepatic impairment, hypersensitivity to aluminum or magnesium, concurrent antacids or aluminum-containing products, concurrent ketoconazole or captopril.",N,drugsdotcom,UNKNOWN
amiloride,hypertension,hyperkalemia,B,drugsdotcom,LOW
amlodipine,angina | hypertension,"angina, heart attack",C,drugsdotcom + drugdata,MEDIUM
amlodipine (oral route),angina,depression,C,drugsdotcom,MEDIUM
amlodipine and atorvastatin,angina,kidney failure,X,drugsdotcom,NEVER
amlodipine and benazepril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
amlodipine and celecoxib,hypertension,"heart failure, angina, heart attack, kidney failure, liver failure, anemia, hyperkalemia",N,drugsdotcom,UNKNOWN
amlodipine and olmesartan,hypertension,"angina, heart attack, hyperkalemia",D,drugsdotcom,HIGH
amlodipine and perindopril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
amlodipine and telmisartan,hypertension,"kidney failure, hyperkalemia",D,drugsdotcom,HIGH
amlodipine and valsartan,hypertension,hyperkalemia,D,drugsdotcom,HIGH
"amlodipine, hydrochlorothiazide, and olmesartan",hypertension,"renal failure, severe hepatic impairment, hypersensitivity to any component, concurrent potassium-sparing diuretics, lithium, pregnancy (especially in the second and third trimesters).",D,drugsdotcom,HIGH
"amlodipine, hydrochlorothiazide, and valsartan",hypertension,"renal failure, severe hepatic impairment, hypersensitivity to any component, concurrent potassium-sparing diuretics, lithium, pregnancy (especially in the second and third trimesters).",D,drugsdotcom,HIGH
amoxicillin,bronchitis | bacterial infections,"hepatic impairment, renal failure, hypersensitivity to penicillins, concurrent MAOIs, concurrent allopurinol, concurrent probenecid, pregnancy category B but caution in severe cases, history of Clostridioides difficile infection.",C,drugsdotcom + drugdata,MEDIUM
amoxicillin / clavulanate,bacterial infections,"renal impairment, hepatic impairment, hypersensitivity to penicillins, concurrent MAOIs, concurrent allopurinol, pregnancy category C (use with caution), history of cholestatic jaundice with previous penicillin or cephalosporin use",C,drugdata,MEDIUM
amoxicillin-clavulanate,bacterial infections,"renal impairment, hepatic impairment, hypersensitivity to penicillins, concurrent warfarin, pregnancy category B but caution in severe cases, history of cholestatic jaundice with previous penicillin or cephalosporin use",C,drugdata,MEDIUM
amyl nitrite,angina,"hepatic impairment, renal failure, severe hypotension, concurrent beta-blockers, concurrent nitrates, pregnancy, severe anemia, severe hypovolemia, concurrent phosphodiesterase inhibitors, concurrent sildenafil, concurrent tadalafil, concurrent vardenafil, concurrent riociguat, concurrent soluble guanylate cyclase stimulators.",C,drugsdotcom,MEDIUM
aspirin (oral route),angina,"hepatic impairment, renal failure, hypersensitivity, concurrent anticoagulants, concurrent NSAIDs, pregnancy (especially in third trimester), bleeding disorders.",N,drugsdotcom,UNKNOWN
aspirin (oral),angina,"hepatic impairment, renal failure, hypersensitivity, concurrent anticoagulants, concurrent NSAIDs, pregnancy (especially in third trimester), bleeding disorders.",N,drugsdotcom,UNKNOWN
aspirin / caffeine / dihydrocodeine,pain,depression,N,drugsdotcom,UNKNOWN
aspirin / oxycodone,pain,depression,B,drugsdotcom,LOW
aspirin and caffeine,pain,"hepatic impairment, renal failure, hypersensitivity to NSAIDs, concurrent MAOIs, pregnancy (third trimester), bleeding disorders (e.g. hemophilia), recent CVA or stroke, peptic ulcer disease.",N,drugsdotcom,UNKNOWN
aspirin and caffeine powder,pain,hyperkalemia,N,drugsdotcom,UNKNOWN
aspirin and caffeine tablets,pain,hyperkalemia,N,drugsdotcom,UNKNOWN
aspirin and oxycodone,pain,"renal failure, hepatic impairment, severe respiratory depression, hypersensitivity to NSAIDs or opioids, concurrent MAOIs, pregnancy (especially in third trimester), concurrent sedatives or other central nervous system depressants.",B,drugsdotcom,LOW
aspirin enteric-coated and buffered tablets,angina,hyperkalemia,N,drugsdotcom,UNKNOWN
aspirin tablets,angina,hyperkalemia,N,drugsdotcom,UNKNOWN
"aspirin, carisoprodol, and codeine",pain,"renal failure, hepatic impairment, respiratory depression, severe asthma, hypersensitivity to codeine or carisoprodol, pregnancy, concurrent MAOIs, concurrent SSRIs, concurrent warfarin, concurrent NSAIDs.",C,drugsdotcom,MEDIUM
atenolol,angina | hypertension,low blood pressure,D,drugsdotcom + drugdata,HIGH
atenolol and chlorthalidone,hypertension,"depression, pancreatitis",D,drugsdotcom,HIGH
atropine / difenoxin,diarrhea,"renal failure, hepatic impairment, severe ulcerative colitis, toxic megacolon, pyloric stenosis, severe hyperthyroidism, glaucoma, prostatic hypertrophy, urinary retention, hypersensitivity to atropine or difenoxin, concurrent MAOIs, concurrent tricyclic antidepressants, concurrent anticholinergics, pregnancy, breastfeeding.",C,drugsdotcom,MEDIUM
atropine and diphenoxylate,diarrhea,depression,C,drugsdotcom,MEDIUM
azelastine and fluticasone nasal,hayfever,"renal impairment, severe liver disease, hypersensitivity to azelastine or fluticasone, concurrent MAOIs, concurrent beta-blockers, concurrent tricyclic antidepressants, concurrent sedatives, pregnancy, breastfeeding.",C,drugsdotcom,MEDIUM
azelastine hydrochloride,hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to azelastine hydrochloride, concurrent MAOIs, pregnancy and breastfeeding (use with caution)",C,drugsdotcom,MEDIUM
azelastine nasal,hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to azelastine, concurrent MAOIs, pregnancy and breastfeeding (use with caution)",C,drugsdotcom,MEDIUM
azilsartan,hypertension,"renal impairment, hypersensitivity to azilsartan or other ARBs, concurrent potassium-sparing diuretics, pregnancy (if severe hypertension is not controlled).",D,drugsdotcom,HIGH
azilsartan and chlorthalidone,hypertension,"renal failure, severe hepatic impairment, hypersensitivity to azilsartan or chlorthalidone, anuria, pregnancy (especially in the second and third trimesters), concurrent lithium therapy, concurrent potassium-sparing diuretics.",D,drugsdotcom,HIGH
azilsartan medoxomil,hypertension,"renal failure, severe hepatic impairment, hypersensitivity to azilsartan or other ARBs, concurrent potassium-sparing diuretics, pregnancy (if severe hypertension is not controlled).",D,drugsdotcom,HIGH
beclomethasone nasal,hayfever,"renal impairment, hepatic impairment, hypersensitivity to beclomethasone, concurrent systemic corticosteroids, concurrent potassium-depleting agents, concurrent NSAIDs, pregnancy (use only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
belladonna,gerd (heartburn),none documented,C,drugsdotcom,MEDIUM
benazepril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
bendroflumethiazide,hypertension,pancreatitis,C,drugsdotcom,MEDIUM
bendroflumethiazide and nadolol,hypertension,"hepatic impairment, renal failure, hypersensitivity, heart block, severe bradycardia, asthma, COPD, severe peripheral arterial disease, pregnancy (especially in the 2nd and 3rd trimesters), concurrent beta-blockers, concurrent calcium channel blockers, concurrent NSAIDs, concurrent SSRIs.",C,drugsdotcom,MEDIUM
benralizumab,asthma,asthma,N,drugsdotcom,UNKNOWN
benralizumab brand name: fasenra,asthma,"low blood pressure, hypersensitivity",N,drugsdotcom,UNKNOWN
benzocaine,pain,"renal failure, hepatic impairment, hypersensitivity to esters of local anesthetics, concurrent MAOIs, pregnancy (use with caution), concurrent warfarin.",C,drugsdotcom,MEDIUM
benzocaine (topical application route),pain,"renal failure, hepatic impairment, hypersensitivity to esters of local anesthetics, concurrent MAOIs, pregnancy (use with caution), concurrent warfarin.",C,drugsdotcom,MEDIUM
benzocaine lozenges,pain,"renal failure, severe hepatic impairment, hypersensitivity to benzocaine, concurrent MAOIs, pregnancy (use with caution, but no severe risks documented)",C,drugsdotcom,MEDIUM
benzocaine orally disintegrating tablets,pain,"renal impairment, severe hepatic impairment, hypersensitivity to benzocaine, concurrent MAOIs, pregnancy (use only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
benzocaine topical,pain,"renal failure, severe hepatic impairment, hypersensitivity to benzocaine, concurrent MAOIs, pregnancy (use with caution, but no severe risks documented)",C,drugsdotcom,MEDIUM
betaxolol,hypertension,lupus,C,drugsdotcom,MEDIUM
bethanechol,gerd (heartburn),"hepatic impairment, renal failure, hypersensitivity, concurrent MAOIs, severe asthma, severe COPD, peptic ulcer, pyloric stenosis, bladder neck obstruction, prostate enlargement, urinary retention, pregnancy.",C,drugsdotcom,MEDIUM
bismuth subsalicylate,diarrhea,"hepatic impairment, renal failure, severe kidney disease, severe colitis, hypersensitivity to salicylates, concurrent anticoagulants, concurrent NSAIDs, pregnancy (third trimester), concurrent methotrexate",N,drugsdotcom,UNKNOWN
bisoprolol,hypertension,bronchospasm,C,drugsdotcom,MEDIUM
bivalirudin,angina,"renal failure, hepatic impairment, hypersensitivity to bivalirudin, thrombocytopenia, severe bleeding, concurrent anticoagulants, low platelet count, pregnancy, concurrent fibrinolytics",B,drugsdotcom,LOW
brivaracetam (oral/injection),seizures,"renal impairment, severe hepatic impairment, hypersensitivity to brivaracetam or its components, concurrent carbamazepine, concurrent phenobarbital, concurrent phenytoin, concurrent primidone, concurrent rifampin, concurrent St. John's Wort, pregnancy, breastfeeding.",C,drugsdotcom,MEDIUM
bromocriptine,diabetes (type 2) | parkinson's disease,"renal failure, hepatic impairment, hypersensitivity, concurrent ergot alkaloids, concurrent MAOIs, pregnancy, concurrent warfarin, concurrent ketoconazole, concurrent itraconazole, concurrent erythromycin, concurrent clarithromycin, concurrent ritonavir, concurrent atazanavir, concurrent indinavir, concurrent saquinavir, concurrent nefazodone, concurrent cimet",C,drugsdotcom + drugdata,MEDIUM
bromocriptine (parlodel),diabetes (type 2),"renal failure, hepatic impairment, hypersensitivity, concurrent ergot alkaloids, concurrent MAOIs, pregnancy, concurrent warfarin, concurrent ketoconazole, concurrent itraconazole, concurrent erythromycin, concurrent clarithromycin, concurrent ritonavir, concurrent atazanavir, concurrent indinavir, concurrent saquinavir, concurrent nefazodone, concurrent cobic",B,drugsdotcom,LOW
brompheniramine and phenylephrine,hayfever,"renal impairment, severe hypertension, coronary heart disease, narrow-angle glaucoma, prostatic hypertrophy, urinary retention, severe asthma, hypersensitivity to sympathomimetics, concurrent MAOIs, pregnancy (use in 1st trimester may increase risk of cleft palate), concurrent tricyclic antidepressants",C,drugsdotcom,MEDIUM
brompheniramine and phenylephrine liquid,hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to sympathomimetics, concurrent MAOIs, pregnancy (use in pregnancy only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
brompheniramine and pseudoephedrine,hayfever,"renal impairment, hepatic impairment, hypersensitivity to pseudoephedrine or other sympathomimetics, concurrent MAOIs, pregnancy (use in pregnancy only if benefits outweigh risks), concurrent beta blockers, concurrent SSRIs.",C,drugsdotcom,MEDIUM
budesonide nasal,hayfever,tuberculosis,B,drugsdotcom,LOW
bupivacaine liposome,pain,"renal failure, severe hepatic impairment, hypersensitivity to bupivacaine or any component of the liposome formulation, concurrent MAOIs, pregnancy, concurrent use with other local anesthetics, concurrent use with class I antiarrhythmics.",C,drugsdotcom,MEDIUM
buprenorphine (oral/buccal),pain,"renal failure, severe hepatic impairment, hypersensitivity to buprenorphine or naloxone, concurrent MAOIs, pregnancy (especially in the 1st trimester), concurrent benzodiazepines or other central nervous system depressants.",C,drugsdotcom,MEDIUM
buprenorphine (oral/sublingual),pain,"renal failure, severe hepatic impairment, hypersensitivity to buprenorphine or naloxone, concurrent MAOIs, pregnancy (especially in the 1st trimester), concurrent benzodiazepines or other central nervous system depressants.",C,drugsdotcom,MEDIUM
buprenorphine injection,pain,"renal failure, severe respiratory depression, acute intoxication with alcohol, opioids, or sedatives, hypersensitivity to buprenorphine or naloxone, concurrent MAOIs, pregnancy, acute liver failure, severe liver impairment, concurrent benzodiazepines",C,drugsdotcom,MEDIUM
buprenorphine transdermal (skin patch),pain,"renal failure, severe hepatic impairment, hypersensitivity to buprenorphine or naloxone, concurrent MAOIs, concurrent benzodiazepines, concurrent CYP3A4 inhibitors, pregnancy (especially in opioid-dependent individuals), concurrent mixed agonist/antagonist opioids",C,drugsdotcom,MEDIUM
butorphanol (injection),pain,"renal failure, hepatic impairment, respiratory depression in patients with chronic obstructive pulmonary disease (COPD), severe respiratory depression in patients with sleep apnea, severe respiratory depression in patients with asthma, severe respiratory depression in patients with cor pulmonale, severe respiratory depression in patients with severe acute bronchial asthma, severe respiratory depression in patients with severe chronic bronchitis, severe respiratory depression in",C,drugsdotcom,MEDIUM
"caffeine brand names: nodoz , vivarin , revive, stay awake , enerjets, lucidex",asthma,"renal failure, hepatic impairment, hypersensitivity to xanthines, concurrent MAOIs, pregnancy, concurrent beta blockers, concurrent certain antidepressants, concurrent certain stimulants, concurrent certain medications for high blood pressure.",C,drugsdotcom,MEDIUM
calcium carbonate,gerd (heartburn),"renal impairment, severe kidney disease, hypersensitivity to calcium or milk proteins, concurrent thiazide diuretics, concurrent digoxin, severe hypercalcemia, pregnancy (high doses may cause fetal harm).",N,drugsdotcom,UNKNOWN
calcium carbonate and simethicone,gerd (heartburn),"renal failure, severe kidney disease, hypersensitivity to calcium or simethicone, concurrent antacids or calcium supplements, concurrent medications that interact with calcium (e.g. tetracyclines, levothyroxine), pregnancy risks if severe (calcium may increase risk of calcium deposits in fetus).",C,drugsdotcom,MEDIUM
calcium carbonate chewable tablets,gerd (heartburn),"renal failure, severe kidney disease, hypersensitivity to calcium or any excipients, concurrent thiazide diuretics, concurrent digoxin, concurrent quinolone antibiotics, pregnancy or breastfeeding (use with caution).",N,drugsdotcom,UNKNOWN
calcium carbonate chewable tablets (antacid),gerd (heartburn),"renal failure, severe kidney disease, hypersensitivity to calcium or any excipients, concurrent thiazide diuretics, concurrent digoxin, concurrent quinolone antibiotics, pregnancy or breastfeeding (use with caution).",N,drugsdotcom,UNKNOWN
"calcium carbonate, famotidine, and magnesium hydroxide",gerd (heartburn),"renal failure, severe hepatic impairment, hypersensitivity to famotidine or magnesium hydroxide, concurrent antacids containing aluminum or calcium, pregnancy (fetal risk due to magnesium hydroxide)",N,drugsdotcom,UNKNOWN
"calcium carbonate, magnesium hydroxide, and simethicone",gerd (heartburn),"renal failure, severe kidney disease, severe liver disease, hypersensitivity to any component, concurrent antacids or medications that interfere with calcium absorption, pregnancy risks if severe magnesium toxicity is a concern.",C,drugsdotcom,MEDIUM
"camphor and menthol cream, lotion, and ointment",pain,"renal failure, hepatic impairment, hypersensitivity to camphor or menthol, concurrent MAOIs, pregnancy (use with caution, but no severe risks documented)",N,drugsdotcom,UNKNOWN
camphor and menthol gel,pain,"renal failure, hepatic impairment, hypersensitivity to camphor or menthol, concurrent MAOIs, pregnancy (use with caution, but no severe risks documented)",N,drugsdotcom,UNKNOWN
camphor and menthol patch,pain,"renal failure, hepatic impairment, hypersensitivity to camphor or menthol, concurrent MAOIs, pregnancy (use with caution, but no severe risks documented)",N,drugsdotcom,UNKNOWN
camphor and menthol topical,colds & flu | pain,"renal failure, hepatic impairment, hypersensitivity to camphor or menthol, concurrent MAOIs, pregnancy (use with caution, no severe risks documented)",N,drugsdotcom,UNKNOWN
canagliflozin,diabetes (type 2),hyperkalemia,C,drugsdotcom,MEDIUM
canagliflozin and metformin,diabetes (type 2),hyperkalemia,C,drugsdotcom,MEDIUM
candesartan,hypertension,hyperkalemia,D,drugsdotcom,HIGH
capsaicin and diclofenac (topical),pain,anemia,N,drugsdotcom,UNKNOWN
"capsaicin cream, gel, liquid, and lotion",osteoarthritis | pain,"renal failure, severe liver disease, hypersensitivity to capsaicin or other vanilloid receptor agonists, concurrent use of beta-blockers, pregnancy (use with caution, but no severe risks documented)",B,drugsdotcom,LOW
capsaicin patch,pain,"renal failure, severe hepatic impairment, hypersensitivity to capsaicin or other vanilloid receptor agonists, concurrent MAOIs, pregnancy, breastfeeding.",B,drugsdotcom,LOW
capsaicin topical,osteoarthritis | pain,"renal failure, severe liver disease, hypersensitivity to capsaicin or other ingredients, concurrent use of blood thinners, pregnancy, breastfeeding.",B,drugsdotcom,LOW
"capsaicin, lidocaine, menthol, and methyl salicylate (topical)",pain,"renal failure, hepatic impairment, hypersensitivity to lidocaine, concurrent MAOIs, pregnancy (lidocaine and methyl salicylate have potential risks), concurrent anticoagulants (methyl salicylate)",N,drugsdotcom,UNKNOWN
captopril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
carbinoxamine,hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to carbinoxamine or other antihistamines, concurrent MAOIs, pregnancy (use in pregnancy only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
carbinoxamine (oral route),hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to carbinoxamine or other antihistamines, concurrent MAOIs, pregnancy (use in pregnancy only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
carbohydrate and electrolyte combination (oral route),diarrhea,"renal impairment, severe dehydration, electrolyte imbalance, hypersensitivity to specific ingredients, concurrent use of certain medications that affect electrolyte levels or hydration.",C,drugsdotcom,MEDIUM
carvedilol,angina | hypertension,low blood pressure,C,drugsdotcom + drugdata,MEDIUM
ceftriaxone,bacterial infections,"hepatic impairment, renal failure, hypersensitivity to ceftriaxone, concurrent aminoglycosides, pregnancy (third trimester), porphyria.",C,drugdata,MEDIUM
cefuroxime,bacterial infections,"renal impairment, hepatic impairment, hypersensitivity to cephalosporins, concurrent probenecid, pregnancy category B but caution in severe cases",C,drugdata,MEDIUM
celecoxib and tramadol,pain,"heart attack, stroke, anemia",N,drugsdotcom,UNKNOWN
celecoxib and tramadol hydrochloride,pain,"heart failure, heart attack, kidney failure, liver failure, anemia",N,drugsdotcom,UNKNOWN
cenobamate,seizures,"hepatic impairment, renal failure, hypersensitivity to cenobamate, concurrent MAOIs, pregnancy, concurrent carbamazepine, concurrent phenobarbital, concurrent phenytoin, concurrent primidone, concurrent rifampin",N,drugsdotcom,UNKNOWN
cephalexin,acne | bacterial infections,"renal impairment, hypersensitivity to cephalosporins, concurrent warfarin, pregnancy category B but caution in severe cases",C,drugsdotcom + drugdata,MEDIUM
cetirizine,hayfever | allergies,"renal impairment, severe hepatic impairment, hypersensitivity to hydroxyzine, concurrent MAOIs, pregnancy (use in pregnancy only if benefits outweigh risks)",C,drugsdotcom + drugdata,MEDIUM
cetirizine and pseudoephedrine,hayfever,"renal impairment, hepatic impairment, severe hypertension, coronary artery disease, concurrent MAOIs, concurrent SSRIs, pregnancy (use in 2nd and 3rd trimesters), hypersensitivity to pseudoephedrine or cetirizine",C,drugsdotcom,MEDIUM
cetirizine hydrochloride,hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to hydroxyzine, concurrent MAOIs, pregnancy (use in pregnancy only if benefits outweigh risks)",B,drugsdotcom,LOW
